['16084', '08', '12', '15', '26', '35', '01', '08', '2016-07-20'],
['16083', '01', '05', '09', '33', '35', '01', '05', '2016-07-18'],
['16082', '03', '08', '23', '28', '29', '02', '07', '2016-07-16'],
['16081', '06', '07', '18', '21', '33', '03', '08', '2016-07-13'],
['16080', '15', '20', '29', '30', '33', '07', '12', '2016-07-11'],
['16079', '07', '14', '15', '20', '27', '05', '10', '2016-07-09'],
['16078', '07', '18', '29', '31', '35', '05', '11', '2016-07-06'],
['16077', '09', '11', '14', '16', '35', '02', '05', '2016-07-04'],
['16076', '03', '08', '10', '17', '31', '05', '06', '2016-07-02'],
['16075', '03', '07', '17', '22', '31', '08', '12', '2016-06-29'],
['16074', '01', '05', '07', '11', '14', '03', '08', '2016-06-27'],
['16073', '07', '14', '17', '24', '27', '08', '10', '2016-06-25'],
['16072', '16', '20', '24', '26', '31', '04', '09', '2016-06-22'],
['16071', '08', '15', '19', '20', '33', '07', '12', '2016-06-20'],
['16070', '02', '09', '13', '19', '23', '05', '07', '2016-06-18'],
['16069', '14', '17', '19', '23', '30', '02', '09', '2016-06-15'],
['16068', '05', '07', '22', '26', '34', '07', '12', '2016-06-13'],
['16067', '02', '08', '11', '13', '19', '02', '08', '2016-06-11'],
['16066', '10', '28', '29', '31', '33', '05', '11', '2016-06-08'],
['16065', '01', '09', '18', '22', '24', '11', '12', '2016-06-06'],
['16064', '01', '02', '10', '18', '35', '05', '11', '2016-06-04'],
['16063', '08', '12', '22', '27', '35', '05', '09', '2016-06-01'],
['16062', '02', '10', '14', '15', '35', '01', '09', '2016-05-30'],
['16061', '09', '15', '17', '21', '23', '07', '12', '2016-05-28'],
['16060', '02', '06', '22', '27', '34', '08', '11', '2016-05-25'],
['16059', '02', '10', '27', '28', '33', '05', '07', '2016-05-23'],
['16058', '02', '15', '17', '23', '28', '05', '09', '2016-05-21'],
['16057', '08', '17', '19', '23', '30', '03', '08', '2016-05-18'],
['16056', '10', '12', '14', '31', '35', '04', '05', '2016-05-16'],
['16055', '06', '21', '27', '30', '34', '04', '09', '2016-05-14'],
['16054', '02', '05', '09', '21', '30', '06', '07', '2016-05-11'],
['16053', '04', '13', '15', '30', '35', '03', '05', '2016-05-09'],
['16052', '08', '14', '19', '20', '33', '10', '11', '2016-05-07'],
['16051', '16', '21', '23', '24', '32', '07', '08', '2016-05-04'],
['16050', '07', '17', '21', '29', '35', '04', '05', '2016-05-02'],
['16049', '03', '04', '05', '27', '33', '04', '09', '2016-04-30'],
['16048', '04', '12', '17', '25', '27', '04', '10', '2016-04-27'],
['16047', '02', '03', '23', '29', '32', '05', '09', '2016-04-25'],
['16046', '03', '19', '22', '32', '34', '08', '12', '2016-04-23'],
['16045', '07', '11', '25', '30', '33', '02', '08', '2016-04-20'],
['16044', '01', '06', '10', '20', '31', '05', '11', '2016-04-18'],
['16043', '01', '09', '16', '33', '34', '09', '12', '2016-04-16'],
['16042', '02', '06', '08', '19', '24', '01', '06', '2016-04-13'],
['16041', '12', '23', '24', '27', '34', '03', '06', '2016-04-11'],
['16040', '20', '22', '29', '30', '35', '01', '06', '2016-04-09'],
['16039', '01', '08', '16', '22', '28', '04', '05', '2016-04-06'],
['16038', '03', '07', '09', '15', '33', '05', '12', '2016-04-04'],
['16037', '03', '05', '13', '24', '34', '03', '05', '2016-04-02'],
['16036', '07', '15', '26', '30', '31', '03', '06', '2016-03-30'],
['16035', '17', '22', '24', '25', '29', '09', '12', '2016-03-28'],
['16034', '14', '18', '31', '32', '35', '09', '10', '2016-03-26'],
['16033', '03', '14', '15', '31', '35', '09', '10', '2016-03-23'],
['16032', '05', '09', '14', '20', '33', '05', '12', '2016-03-21'],
['16031', '03', '14', '24', '27', '29', '04', '11', '2016-03-19'],
['16030', '10', '19', '21', '29', '33', '04', '06', '2016-03-16'],
['16029', '20', '26', '27', '29', '32', '05', '12', '2016-03-14'],
['16028', '13', '18', '20', '23', '31', '03', '06', '2016-03-12'],
['16027', '06', '11', '13', '15', '28', '02', '06', '2016-03-09'],
['16026', '02', '06', '29', '30', '34', '01', '07', '2016-03-07'],
['16025', '03', '06', '13', '23', '24', '07', '10', '2016-03-05'],
['16024', '01', '02', '11', '15', '18', '04', '08', '2016-03-02'],
['16023', '04', '09', '14', '25', '27', '06', '11', '2016-02-29'],
['16022', '04', '18', '21', '30', '35', '02', '11', '2016-02-27'],
['16021', '01', '04', '09', '10', '35', '09', '11', '2016-02-24'],
['16020', '01', '16', '22', '29', '30', '02', '09', '2016-02-22'],
['16019', '04', '11', '15', '20', '26', '08', '09', '2016-02-20'],
['16018', '05', '10', '13', '27', '33', '08', '11', '2016-02-17'],
['16017', '11', '18', '24', '28', '29', '05', '10', '2016-02-15'],
['16016', '03', '10', '22', '29', '32', '02', '05', '2016-02-06'],
['16015', '01', '04', '10', '13', '30', '03', '09', '2016-02-03'],
['16014', '06', '08', '21', '24', '27', '02', '10', '2016-02-01'],
['16013', '03', '21', '23', '31', '35', '02', '11', '2016-01-30'],
['16012', '05', '07', '11', '23', '28', '03', '12', '2016-01-27'],
['16011', '02', '08', '10', '15', '23', '05', '10', '2016-01-25'],
['16010', '12', '13', '15', '16', '28', '02', '05', '2016-01-23'],
['16009', '05', '08', '10', '17', '20', '02', '12', '2016-01-20'],
['16008', '05', '12', '31', '34', '35', '04', '05', '2016-01-18'],
['16007', '02', '05', '14', '32', '35', '01', '03', '2016-01-16'],
['16006', '14', '16', '17', '22', '24', '02', '09', '2016-01-13'],
['16005', '06', '09', '12', '15', '20', '08', '11', '2016-01-11'],
['16004', '10', '20', '23', '32', '35', '09', '10', '2016-01-09'],
['16003', '04', '12', '17', '22', '26', '06', '07', '2016-01-06'],
['16002', '07', '12', '18', '25', '35', '07', '09', '2016-01-04'],
['16001', '01', '07', '19', '20', '30', '05', '10', '2016-01-02'],
['15153', '01', '07', '22', '27', '33', '02', '11', '2015-12-30'],
['15152', '04', '05', '22', '29', '35', '02', '11', '2015-12-28'],
['15151', '15', '16', '18', '30', '35', '01', '07', '2015-12-26'],
['15150', '04', '13', '18', '25', '33', '03', '07', '2015-12-23'],
['15149', '04', '06', '10', '12', '28', '02', '08', '2015-12-21'],
['15148', '08', '11', '27', '31', '33', '08', '09', '2015-12-19'],
['15147', '01', '02', '13', '18', '19', '08', '10', '2015-12-16'],
['15146', '04', '15', '19', '27', '31', '04', '11', '2015-12-14'],
['15145', '06', '07', '20', '29', '32', '11', '12', '2015-12-12'],
['15144', '01', '09', '24', '26', '29', '06', '11', '2015-12-09'],
['15143', '09', '20', '31', '33', '35', '10', '11', '2015-12-07'],
['15142', '12', '14', '22', '26', '30', '03', '06', '2015-12-05'],
['15141', '02', '04', '15', '19', '31', '02', '03', '2015-12-02'],
['15140', '01', '11', '15', '26', '35', '06', '11', '2015-11-30'],
['15139', '02', '03', '05', '25', '32', '05', '07', '2015-11-28'],
['15138', '01', '16', '20', '29', '32', '04', '07', '2015-11-25'],
['15137', '14', '17', '21', '23', '26', '08', '11', '2015-11-23'],
['15136', '05', '20', '23', '29', '32', '02', '10', '2015-11-21'],
['15135', '05', '16', '20', '25', '29', '06', '08', '2015-11-18'],
